readme,text,plan,label
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,## Installation,,
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,**OS X & Linux:**,,
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,"1.  To download and install SICStus Prolog (it is needed), follow the instructions at https://sicstus.sics.se/download4.html.",binary,step1
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,"2.  Then, you can download DALI and",,step2
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,test it by running an example DALI MAS:,,step3
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,git clone https://github.com/AAAI-DISIM-UnivAQ/DALI.git,,step3.cmd1
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,cd DALI/Examples/advanced,,step3.cmd2
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,bash startmas.sh,,step3.cmd3
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,"3.  Unzip the repository, go to the folder ""DALI/Examples/basic"", and test if DALI works by duble clicking ""startmas.bat"" file (this will launch an example DALI MAS)",,step4
https://raw.githubusercontent.com/cfeng783/GTT/main/README.md,#### Install dependencies (with python 3.10) ,source,step1
https://raw.githubusercontent.com/cfeng783/GTT/main/README.md,pip install -r requirements.txt,,step1.cmd1
https://raw.githubusercontent.com/cfeng783/GTT/main/README.md,#### Run the zero-shot experiments,,step2
https://raw.githubusercontent.com/cfeng783/GTT/main/README.md,cd src,,step2.cmd1
https://raw.githubusercontent.com/cfeng783/GTT/main/README.md,python test_zeroshot.py --gpu [GPUs] --batch_size [BS] --mode [mode] --data [DS] --uni [uni],,step2.cmd2
https://raw.githubusercontent.com/cfeng783/GTT/main/README.md,#### Run the fine-tune experiments,,step3
https://raw.githubusercontent.com/cfeng783/GTT/main/README.md,cd experiments,,step3.cmd1
https://raw.githubusercontent.com/cfeng783/GTT/main/README.md,python test_finetune.py --gpu [GPUs] --batch_size [BS] --mode [mode] --data [DS] --uni [uni] --epochs [eps],source,step3.cmd2
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,1.  Prepare for the running environment. ,,step4
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,    You can use the docker image provided by [`OpenPCDet`](https://github.com/open-mmlab/OpenPCDet). Our experiments are based on the docker provided by Voxel-R-CNN and we use NVIDIA Tesla V100 to train our Aydiv.,,step4.extra.info
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,2. Prepare for the data.,,step5
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,    Convert Argoverse 2 (or) waymo open Dataset into kitti format [`converter`](https://github.com/sanjay-810/AYDIV_ICRA/tree/main/data_converter/convert),,step5.substep1
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,    Please prepare dataset as [`OpenPCDet`](https://github.com/open-mmlab/OpenPCDet).  ,,step5.substep2
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,    To generate depth_pseudo_rgbseguv_twise by yourself with depth_dense_twise as follows:,,step5.substep3
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,    cd Aydiv,,step5.substep3.cmd1
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,    python depth_to_lidar.py,,step5.substep3.cmd2
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,"    If you want to generate dense depth maps by yourself, it is recommended to use [`TWISE`](https://github.com/imransai/TWISE). The dense depth maps we provide are generated by TWISE. Anyway, you should have your dataset as follows:",,step6.cmd3
https://raw.githubusercontent.com/BingqingCheng/cace/main/README.md,Please refer to the `setup.py` file for installation instructions.,source,step1
https://raw.githubusercontent.com/less-and-less-bugs/Trust_TELLER/main/README.md,## Getting Started,,
https://raw.githubusercontent.com/less-and-less-bugs/Trust_TELLER/main/README.md,"Step 1: Download the dataset folder from onedrive by [data.zip](https://portland-my.sharepoint.com/:u:/g/personal/liuhui3-c_my_cityu_edu_hk/EfApQlFP3PhFjUW4527STo0BALMdP16zs-HPMNgwQVFWsA?e=zoHlW2). Unzip this folder into the project  directory.  You can find four orginal datasets,  pre-processed datasets (i.e., val.jsonl, test.jsonl, train.jsonl in each dataset folder) and the files incuding questions and answers ",source,step1
https://raw.githubusercontent.com/less-and-less-bugs/Trust_TELLER/main/README.md,Step 2: Place you OpenAI key into the file named api_key.txt. ,,step2
https://raw.githubusercontent.com/less-and-less-bugs/Trust_TELLER/main/README.md,"openai.api_key = """"",,step2.cmd1
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,## Installation,,
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,Clone this repository and its submodules.,container,step1
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,We use docker to install dependencies. The recommended way to build the docker image is,,step2
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,docker build -t steam_icp \,,step2.cmd1
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  --build-arg USERID=$(id -u) \,,step2.cmd2
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  --build-arg GROUPID=$(id -g) \,,step2.cmd3
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  --build-arg USERNAME=$(whoami) \,,step2.cmd4
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  --build-arg HOMEDIR=${HOME} .,,step2.cmd5
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,"When starting a container, remember to mount the code, dataset, and output directories to proper locations in the container.",,step3
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,An example command to start a docker container with the image is,,
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,docker run -it --name steam_icp \,,step3.cmd1
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  --privileged \,,step3.cmd2
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  --network=host \,,step3.cmd3
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  -e DISPLAY=$DISPLAY \,,step3.cmd4
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  -v /tmp/.X11-unix:/tmp/.X11-unix \,,step3.cmd5
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  -v ${HOME}:${HOME}:rw \,,step3.cmd6
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  steam_icp,,step3.cmd7
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,(Inside Container) Go to the root directory of this repository and build STEAM-ICP,,step4
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,bash build.sh,,step4.cmd1
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,# Installation,,
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,"- Make sure you have Python, Pip and R installed.",source,step1
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,- Checkout this repository,,step2
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,- Install the python dependencies with,,step4
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,pip3 install -r requirements.txt,,step4.cmd1
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,- Install the `pygirgs` package at https://github.com/PFischbeck/pygirgs,,step5
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,- Install the R dependencies (used for plots) with,,step6
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,"R -e 'install.packages(c(""ggplot2"", ""reshape2"", ""plyr"", ""dplyr"", ""scales""), repos=""https://cloud.r-project.org/"")'",,step6.cmd
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,- Download the file `konect-data.zip` from [Zenodo](https://doi.org/10.5281/zenodo.10629451) and extract its contents into the folder `input_data/konect`,,step7
https://raw.githubusercontent.com/PFischbeck/parameter-fitting-experiments/main/Readme.md,"- Optional: Download the file `output-data.zip` from [Zenodo](https://doi.org/10.5281/zenodo.10629451) and extract its contents into the folder `output_data`. This way, you can access all experiment results without running them yourself.",binary,step1.planal
https://raw.githubusercontent.com/gabbypinto/GET-Tok-Peru/main/README.md,## Installation,,
https://raw.githubusercontent.com/gabbypinto/GET-Tok-Peru/main/README.md,pip install -r requirements.txt ,source,step1
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,*Note: I did not us a virtual environment so the packages in the requirements.txt file are probably not reflective of all the packages used in this project. If some issues pop up please don't hesitate to email me at: gpinto@usc.edu*,,
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,## Installation,,
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,### Dependencies,,
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,Initialize git submodules with,source,step1
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,    git submodule init,,step1.cmd1
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,    git submodule update,,step1.cmd2
https://raw.githubusercontent.com/jonarriza96/gsft/main/README.md,### Python environment,,
