readme,text,plan,"label (0:source,1:packagemanager,2:container,3:binary)"
https://raw.githubusercontent.com/AAAI-DISIM-UnivAQ/DALI/master/README.md,"## Installation

**OS X & Linux:**
1.  To download and install SICStus Prolog (it is needed), follow the instructions at https://sicstus.sics.se/download4.html.
2.  Then, you can download DALI and test it by running an example DALI MAS:
```sh
git clone https://github.com/AAAI-DISIM-UnivAQ/DALI.git
cd DALI/Examples/advanced
bash startmas.sh
```
&nbsp;&nbsp;&nbsp;&nbsp; You will see different windows opening:
* &nbsp;&nbsp;&nbsp;&nbsp; Prolog LINDA server (active_server_wi.pl)
* &nbsp;&nbsp;&nbsp;&nbsp; Prolog FIPA client (active_user_wi.pl) 
* &nbsp;&nbsp;&nbsp;&nbsp; 1 instance of DALI metaintepreter for each agent (active_dali_wi.pl)
**Windows:**
1.  To download and install SICStus Prolog (it is needed), follow the instructions at https://sicstus.sics.se/download4.html.
2.  Then, you can download DALI from https://github.com/AAAI-DISIM-UnivAQ/DALI.git.
3.  Unzip the repository, go to the folder ""DALI/Examples/basic"", and test if DALI works by duble clicking ""startmas.bat"" file (this will launch an example DALI MAS). \
\
&nbsp;&nbsp;&nbsp;&nbsp; You will see different windows opening:
* &nbsp;&nbsp;&nbsp;&nbsp; Prolog LINDA server (active_server_wi.pl)
* &nbsp;&nbsp;&nbsp;&nbsp; Prolog FIPA client (active_user_wi.pl) 
* &nbsp;&nbsp;&nbsp;&nbsp; 1 instance of DALI metaintepreter for each agent (active_dali_wi.pl)",source,0
https://raw.githubusercontent.com/cfeng783/GTT/main/README.md,"#### Install dependencies (with python 3.10) 

```shell
pip install -r requirements.txt
```

## Run Experiments

#### Run the zero-shot experiments

```shell
cd src
python test_zeroshot.py --gpu [GPUs] --batch_size [BS] --mode [mode] --data [DS] --uni [uni]
```
Specify mode to one of the following: tiny, small, large.

Specify data to one of the following: m1, m2, h1, h2, electricity, weather, traffic, ill.

Specify uni to 0 or 1, 0: multivariate forecast, 1: univariate forecast

#### Run the fine-tune experiments

```shell
cd experiments
python test_finetune.py --gpu [GPUs] --batch_size [BS] --mode [mode] --data [DS] --uni [uni] --epochs [eps]
```",source,0
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,"### **Installation**
1.  Prepare for the running environment: You can use the docker image provided by [`OpenPCDet`](https://github.com/open-mmlab/OpenPCDet). Our experiments are based on the docker provided by Voxel-R-CNN and we use NVIDIA Tesla V100 to train our Aydiv.",container,2
https://raw.githubusercontent.com/sanjay-810/AYDIV2/main/README.md,"    You can use the docker image provided by [`OpenPCDet`](https://github.com/open-mmlab/OpenPCDet). Our experiments are based on the docker provided by Voxel-R-CNN and we use NVIDIA Tesla V100 to train our Aydiv.
2. Prepare for the data.
 Convert Argoverse 2 (or) waymo open Dataset into kitti format [`converter` (https://github.com/sanjay-810/AYDIV_ICRA/tree/main/data_converter/convert) Please prepare dataset as [`OpenPCDet`](https://github.com/open-mmlab/OpenPCDet).
    ```
    cd Aydiv
    python depth_to_lidar.py
    ```",container,2
https://raw.githubusercontent.com/BingqingCheng/cace/main/README.md,Please refer to the `setup.py` file for installation instructions.,source,0
https://raw.githubusercontent.com/less-and-less-bugs/Trust_TELLER/main/README.md,"Step 1: Download the dataset folder from onedrive by [data.zip](https://portland-my.sharepoint.com/:u:/g/personal/liuhui3-c_my_cityu_edu_hk/EfApQlFP3PhFjUW4527STo0BALMdP16zs-HPMNgwQVFWsA?e=zoHlW2). Unzip this folder into the project  directory.  You can find four orginal datasets,  pre-processed datasets (i.e., val.jsonl, test.jsonl, train.jsonl in each dataset folder) and the files incuding questions and answers 
Step 2: Place you OpenAI key into the file named api_key.txt. 
openai.api.key= """"",source,0
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,Clone this repository and its submodules.,container,2
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,We use docker to install dependencies. The recommended way to build the docker image is,container,2
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,docker build -t steam_icp \,container,2
https://raw.githubusercontent.com/utiasASRL/steam_icp/master/README.md,  --build-arg USERID=$(id -u) \,container,2
